Neighborhood,Estimate,Group
NoRidge,140424,Group C
NridgHt,121400,Group C
StoneBr,115628,Group C
Timber,47377,Group C
Veenker,43902,Group C
Somerst,30509,Group C
ClearCr,17695,Group B
Crawfor,15754,Group B
CollgCr,3095,Group B
Blmngtn,base,Group B
Gilbert,-2016,Group B
NWAmes,-5821,Group B
SawyerW,-8315,Group B
Mitchel,-38601,Group A
NAmes,-49024,Group A
NPkVill,-52176,Group A
SWISU,-52280,Group A
Blueste,-57371,Group A
Sawyer,-58078,Group A
OldTown,-66646,Group A
Edwards,-66651,Group A
BrkSide,-70037,Group A
BrDale,-90377,Group A
IDOTRR,-94747,Group A
MeadowV,-96294,Group A
